"재배규모별","경영개황별","항목","단위","1963 년","1964 년","1966 년","1967 년","1968 년","1969 년","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"0.5ha미만","밭","경영개황","㎡","1018","1028","1157","1365","1098","1210","1081","1107","1250","1015","1005","998","1015","1025","969","952","922","873","902","466","635","489","469","473","638","698","2314","2641","661","2919","3111","3005","2942","3061","3223","3474","3527","3412","3180","2797","3207","3610","2965","3123","2375.8534031414","4479.33857","4420.40219","4204.224","4423.264","4788.982","4503.493","4489.257","4601.556","4522.062","2851.696","2862.496","2686.209","2642.532","2575.559","2191.01","2402.444",
"0.5ha미만","수원지","경영개황","㎡","3","7","3","","13","23","33","43","126","17","46","53","93","76","106","89","83","102","76","66","202","36","","3","30","17","717","840","850","774","912","1012","1081","1157","1210","1197","1154","1101","1256","1183","1458","1316","1055","1084","1054.6832460733","1068.92321","1279.48263","1465.331","1565.384","1536.655","1494.23","1294.13","1279.904","1344.031","735.346","727.173","912.145","842.815","923.26","828.84","1476.927",
"0.5ha미만","자작지","경영개황","㎡","2873","2926","2932","3098","3035","2902","3226","3230","3372","3339","3068","3005","3107","2965","2962","3031","3098","2979","2982","2866","3107","3355","2873","2354","2889","2813","4873","5200","5263","5541","5514","5673","5531","5673","6261","5907","5775","5623","5749","5498","5785","5289","5220","5194","4932.1596858639","5643.92845","5790.59232","5898.893","5928.442","6164.702","6014.763","5940.685","5878.644","6047.311","5227.544","5155.699","5293.756","5232.059","5260.272","4947.458","5649.022",
"0.5ha미만","논","경영개황","㎡","2096","2079","1950","1970","2165","1868","2255","2258","2129","2413","2175","2112","2179","2069","2093","2192","2298","2212","2192","2357","2519","3015","2678","2202","2360","2360","2909","3022","2939","3164","3190","3246","3127","3131","3349","2969","2988","2873","3041","3064","3124","2717","2747","2708","2727.3036649215","2565.96335","2529.1883","2630.782","2572.976","2729.447","2734.075","2799.084","2700.52","2760.479","2775.544","2625.972","2632.264","2664.931","2706.463","2696.168","2638.391",
"0.5ha미만","밭","경영개황","㎡","777","840","975","1127","856","1012","939","952","1117","909","846","840","853","820","770","760","727","684","724","443","387","304","195","149","499","450","1425","1646","1693","1749","1646","1656","1577","1696","1931","1974","1884","1888","1788","1564","1630","1498","1537","1588","1371.5654450262","2255.82373","2236.34186","2156.646","2231.161","2410.935","2360.122","2289.966","2337.321","2408.992","1861.029","1881.935","1872.963","1814.493","1764.596","1498.315","1551.932",
"0.5ha미만","수원지","경영개황","㎡","","7","3","","13","23","33","20","126","17","46","53","76","76","99","79","73","83","66","66","202","36","","3","30","3","539","532","631","628","678","770","826","846","982","965","902","863","919","869","1031","1071","936","899","833.2905759162","822.14136","1025.06216","1111.465","1124.305","1024.321","920.566","851.635","840.803","877.839","590.971","647.792","788.53","752.635","789.213","752.975","1458.699",
"0.5ha미만","차용지","경영개황","㎡","572","615","588","499","628","450","440","509","357","502","400","469","526","572","631","522","483","516","579","764","681","1137","1127","1574","1154","1051","2258","2750","2595","2463","2962","3117","3055","3137","3098","3094","3422","3342","3266","2926","3246","3964","3055","3176","2629.3795811518","3976.43106","4082.96527","3806.228","3908.809","4191.905","4092.059","3881.76","3889.649","3993.803","1784.941","1806.644","1721.163","1683.692","1668.544","1499.465","1670.59",
"0.5ha미만","논","경영개황","㎡","327","423","410","261","387","251","298","331","225","397","241","311","347","367","426","321","278","307","390","740","430","952","853","1250","1015","790","1190","1448","1359","1147","1263","1527","1435","1461","1577","1362","1527","1580","1537","1379","1243","1607","1507","1457","1403.6989528796","1506.13438","1644.48446","1404.783","1275.627","1301.524","1375.023","1239.974","1186.313","1414.541","649.9","746.702","784.3","765.473","723.534","730.905","801.85",
"0.5ha미만","밭","경영개황","㎡","241","188","179","238","241","198","142","155","132","106","159","159","162","205","198","192","195","188","179","23","251","185","274","324","139","248","889","995","1018","1170","1464","1349","1365","1365","1293","1501","1643","1524","1392","1233","1577","2112","1428","1535","1004.2879581152","2223.51483","2184.06033","2047.578","2192.103","2378.047","2143.371","2199.291","2264.235","2113.07","990.667","980.561","813.246","828.039","810.963","692.695","850.512",
"0.5ha미만","수원지","경영개황","㎡","3","","","","","","","23","","","","","17","","7","10","10","20","10","","","","","","","13","179","307","218","145","235","241","255","311","228","231","251","238","337","314","426","245","119","185","221.3926701571","246.78185","254.42048","353.866","441.079","512.334","573.664","442.495","439.101","466.192","144.375","79.381","123.616","90.18","134.047","75.865","18.228",
